position;country;points
1;Germany;1533
2;Brazil;1384
3;Belgium;1346
4;Portugal;1306
5;Argentina;1254
6;Switzerland;1179
7;France;1166
8;Spain;1162
9;Chile;1146
10;Poland;1118
11;Peru;1106
12;Denmark;1054
13;England;1040
14;Tunisia;1012
15;Mexico;1008
16;Colombia;989
17;Uruguay;976
18;Croatia;975
19;Netherlands;969
20;Italy;947
21;Wales;931
22;Iceland;930
23;Sweden;889
24;USA;880
25;Costa Rica;858
26;Austria;841
27;Northern Ireland;837
28;Senegal;825
29;Slovakia;786
30;Ukraine;777
31;Republic of Ireland;776
32;Romania;737
32;Paraguay;737
34;Scotland;735
35;Serbia;732
36;IR Iran;727
37;Turkey;714
38;Congo DR;711
39;Venezuela;709
40;Australia;700
41;Bosnia and Herzegovina;688
42;Morocco;681
43;Montenegro;671
44;Greece;657
45;Czech Republic;647
46;Egypt;636
47;Nigeria;635
48;Norway;608
49;Hungary;604
50;Cameroon;603
50;Ghana;603
52;Jamaica;612
53;Bulgaria;583
54;Burkina Faso;591
55;Panama;575
56;Albania;549
57;Bolivia;548
58;Cape Verde Islands;545
59;Honduras;530
60;Japan;528
61;Korea Republic;520
62;Finland;507
63;Ecuador;506
64;Algeria;516
65;Slovenia;495
66;Russia;493
67;Mali;462
67;Saudi Arabia;445
69;Côte d'Ivoire;458
70;Guinea;450
71;Curaçao;439
72;South Africa;433
73;China PR;431
74;Uganda;426
75;Kyrgyz Republic;424
76;Syria;423
77;FYR Macedonia;422
78;Zambia;413
79;Belarus;410
80;Canada;407
81;United Arab Emirates;405
82;Lebanon;404
83;Luxembourg;401
84;Benin;379
85;El Salvador;392
86;Cyprus;386
87;Oman;383
88;Uzbekistan;381
89;Congo;378
90;Gabon;374
91;Iraq;381
92;Trinidad and Tobago;374
93;Estonia;364
93;Faroe Islands;364
95;Georgia;362
96;Palestine;401
97;India;354
98;Armenia;347
98;Israel;347
100;Libya;341
101;Qatar;339
102;Vietnam;331
103;Sierra Leone;332
104;Guinea-Bissau;330
105;Mauritania;323
106;Mozambique;311
107;Namibia;305
108;Haiti;302
109;Niger;299
110;Korea DPR;292
111;Philippines;289
111;Kenya;289
113;Zimbabwe;295
114;Madagascar;293
115;Central African Republic;283
116;Bahrain;281
117;Kazakhstan;269
118;Jordan;272
119;Malawi;267
120;Tajikistan;271
121;Chinese Taipei;263
122;Thailand;253
123;Rwanda;252
124;Yemen;250
124;Antigua and Barbuda;251
126;Azerbaijan;245
126;Sudan;245
128;Turkmenistan;242
128;Togo;242
130;St Kitts and Nevis;245
131;Swaziland;240
132;Andorra;230
133;New Zealand;229
133;Lithuania;229
135;Myanmar;227
136;Nicaragua;224
137;Tanzania;223
138;Angola;221
139;Latvia;217
140;Afghanistan;194
141;Guatemala;198
142;Botswana;176
142;Comoros;195
144;Hong Kong;194
145;Equatorial Guinea;190
146;Ethiopia;188
146;Burundi;188
148;Maldives;183
149;Dominican Republic;175
150;Lesotho;175
151;Liberia;167
152;Kosovo;164
153;Solomon Islands;162
154;Suriname;140
155;Vanuatu;136
156;New Caledonia;135
157;South Sudan;139
158;Barbados;118
159;Puerto Rico;128
160;Kuwait;88
161;Mauritius;122
162;Tahiti;117
163;Grenada;103
164;Indonesia;111
164;Guyana;111
164;Nepal;111
167;Fiji;110
168;Chad;110
169;Belize;107
170;Cambodia;105
171;Malaysia;104
172;Singapore;102
173;Moldova;98
174;St Lucia;105
175;Gambia;94
176;St Vincent and the Grenadines;95
177;Dominica;88
178;Bermuda;82
179;Laos;80
180;Papua New Guinea;78
181;Liechtenstein;77
182;Cuba;75
182;Aruba;75
184;Bhutan;68
185;Malta;62
186;Macau;60
187;São Tomé e Príncipe;59
188;Mongolia;51
189;Guam;45
190;Timor-Leste;44
191;American Samoa;38
191;Cook Islands;38
191;Samoa;38
194;Seychelles;36
195;Brunei Darussalam;36
196;Gibraltar;34
197;Bangladesh;33
198;Djibouti;27
199;US Virgin Islands;18
200;Montserrat;17
